Rank,Name,Team,Position,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,SnapsPlayed,SnapsPlayedPercentage,FantasyPointSnapPercentage,FantasyPoints
982,Desmond Trufant,LV,CB,12,45,null,null,null,null,23,null,1,10,null,22,null,2,null,41,34,43,233,34.9,9.2,21.5
982,Jarrad Davis,NYJ,LB,null,null,null,null,null,null,null,38,45,42,9,12,6,24,4,29,null,null,209,35.5,10.3,21.5
982,Leki Fotu,ARI,DT,17,3,13,15,23,29,26,37,28,32,14,null,18,12,21,40,27,17,372,34.3,5.8,21.5
982,Malik Harrison,BAL,ILB,44,34,17,32,18,14,11,null,null,null,null,0,0,0,0,0,1,0,171,18.9,12.6,21.5
986,Marcedes Lewis,GB,TE,15,36,25,35,29,40,21,31,29,42,17,33,null,36,31,25,13,20,478,42.8,4.5,21.4
987,Jarrod Wilson,NYJ,FS,null,14,21,62,51,null,null,null,null,42,null,null,null,0,2,4,2,null,198,32.1,10.8,21.3
988,Jordan Love,GB,QB,15,3,null,null,null,null,null,null,63,null,1,null,null,null,null,null,12,37,131,33.9,16.1,21.14
989,Chris Rumph II,LAC,OLB,1,6,24,9,4,11,null,10,7,3,11,3,31,24,9,null,23,0,176,16.2,11.9,21
989,Derick Roberson,TEN,OLB,19,null,null,null,null,null,null,null,null,null,4,34,null,24,5,null,null,null,86,29,24.4,21
989,Jonathan Owens,HOU,DB,null,null,null,null,null,null,null,null,3,null,null,12,10,23,70,62,null,null,180,45.1,11.7,21
989,Kyle Peko,TEN,DT,null,null,null,null,null,null,null,null,null,23,11,31,null,13,14,14,16,35,157,33.2,13.4,21
989,Chris Westry,BAL,CB,33,null,null,null,null,null,null,null,null,17,56,null,null,52,null,null,null,26,184,51.8,11.4,21
989,Sharrod Neasman,NYJ,FS,null,null,null,74,67,null,16,16,20,17,1,1,4,3,38,null,null,null,257,33.4,8.2,21
989,Nick Kwiatkoski,LV,ILB,16,null,7,13,12,6,12,null,0,null,null,null,0,null,null,null,null,null,66,11.7,31.8,21
989,Khyiris Tonga,CHI,DL,13,8,29,7,5,null,22,5,15,null,23,5,17,11,null,16,21,19,216,23.1,9.7,21
989,Demetrius Flannigan-Fowles,SF,LB,17,0,0,0,0,null,0,47,0,0,0,11,51,0,14,0,14,9,163,15.1,12.9,21
998,Eddie Goldman,CHI,NT,null,null,null,31,33,27,28,30,29,null,25,22,14,27,26,18,15,12,337,38.7,6.2,20.9
999,Dee Ford,SF,DE,30,16,20,12,11,null,17,null,null,null,null,null,null,null,null,null,null,null,106,26.8,19.6,20.8
999,Keion Crossen,NYG,DB,0,0,0,0,0,0,5,2,1,null,0,0,0,0,15,null,0,0,23,2.1,90.4,20.8
1001,Pernell McPhee,BAL,OLB,36,12,38,17,31,12,19,null,3,25,null,null,null,null,null,null,null,41,234,36.1,8.8,20.7
1002,Eric Ebron,PIT,TE,27,24,47,28,25,34,null,null,null,29,32,null,null,null,null,null,null,null,246,44.5,8.3,20.5
1002,Jimmy Smith,BAL,CB,null,null,19,24,34,13,17,null,1,10,null,null,42,null,null,null,58,76,294,46.7,7,20.5
1002,Duke Riley,MIA,LB,1,2,1,17,8,1,6,67,7,26,9,30,33,null,9,null,9,18,244,22.9,8.4,20.5
1002,Charles Omenihu,HOU,DL,48,36,23,46,null,null,39,28,null,13,16,15,20,14,12,12,20,14,356,37,5.8,20.5
1006,Carl Davis Jr.,NE,DL,13,15,16,12,18,26,23,7,23,18,17,26,5,null,16,14,14,12,275,25.8,7.4,20.4
1007,Matthias Farley,TEN,S,2,1,0,0,0,0,44,0,0,0,0,1,null,3,0,1,5,0,57,5.2,35.5,20.24
1008,James Proche II,BAL,WR,7,5,13,24,50,5,16,null,4,null,12,5,6,21,16,28,null,null,212,20.6,9.5,20.2
1009,Dee Delaney,TB,CB,0,1,53,0,0,46,47,null,null,44,13,4,0,0,0,13,null,5,226,22.8,8.8,20
1009,Buster Skrine,TEN,CB,null,null,null,3,null,null,null,null,null,null,null,20,null,55,49,58,25,10,220,55.3,9.1,20
1009,Jason Pinnock,NYJ,S,null,null,4,null,15,null,9,null,2,null,7,13,4,7,1,70,50,54,236,27.7,8.5,20
1009,Broderick Washington,BAL,DT,21,null,36,11,6,null,null,null,18,14,11,30,6,40,20,48,16,16,293,31.9,6.8,20
1009,Cam Gill,TB,OLB,null,null,null,null,0,0,17,0,null,1,6,3,7,3,3,28,15,34,117,13.8,17.1,20
1009,Shaun Bradley,PHI,LB,9,0,0,3,0,0,0,16,0,0,0,0,0,null,0,null,null,27,55,5.6,36.4,20
1009,J.T. Gray,NO,DB,7,4,3,1,0,null,0,0,1,2,0,0,0,5,1,null,17,0,41,3.9,48.8,20
1016,Godwin Igwebuike,DET,RB,0,0,0,0,0,0,0,11,null,4,1,4,28,28,12,10,0,0,98,8.9,20.2,19.8
1016,JuJu Smith-Schuster,PIT,WR,53,54,33,57,25,null,null,null,null,null,null,null,null,null,null,null,null,null,222,68.9,8.9,19.8
1018,Jessie Lemonier,DET,OLB,null,null,null,null,null,null,null,null,null,null,null,2,10,47,43,18,13,28,161,33.9,12.2,19.7
1018,Bobby Price,DET,CB,27,32,58,35,3,12,11,8,null,24,4,9,null,null,15,6,5,1,250,25.1,7.9,19.7
1020,O.J. Howard,TB,TE,6,11,14,51,44,49,37,28,null,28,20,9,6,5,10,24,14,9,365,30.9,5.3,19.5
1020,Malcolm Brown,MIA,RB,16,9,34,35,5,25,5,null,null,null,null,null,null,null,null,null,null,null,129,28,15.1,19.5
1020,Tyler Matakevich,BUF,LB,25,7,22,7,23,24,null,18,19,11,8,17,2,30,5,17,16,3,254,24,7.7,19.5
1020,Kenny Robinson,CAR,S,null,null,null,0,0,0,13,19,17,null,null,null,null,null,1,41,31,60,182,27.7,10.7,19.5
1020,Anthony Rush,ATL,DL,15,1,null,null,null,null,null,null,25,34,30,19,20,24,23,21,29,26,267,32.9,7.3,19.5
1025,Tony Jefferson,BAL,S,null,null,null,null,null,null,null,null,0,2,null,null,null,null,9,47,15,18,91,22.9,21.3,19.4
1026,Sheldon Day,CLE,DT,null,null,null,null,null,22,null,null,36,null,null,22,null,29,52,52,21,null,234,45.6,8.3,19.35
1027,Nick Vannett,NO,TE,null,null,null,null,null,null,null,null,null,null,18,21,42,51,35,41,null,20,228,51,8.5,19.3
1028,James White,NE,RB,28,29,6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,63,30.7,30.5,19.2
1029,Isaiah Oliver,ATL,CB,54,39,57,11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,161,59.4,11.8,19
1029,Terrence Brooks,HOU,DB,2,2,2,16,9,11,null,null,null,null,1,58,null,null,null,17,10,68,196,26.8,9.7,19
1029,Ulysees Gilbert III,PIT,ILB,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,9,27,0,36,3.1,52.8,19
1029,Armani Watts,KC,S,14,0,0,1,0,0,0,0,0,17,0,null,0,13,0,null,0,0,45,4.3,42.2,19
1033,Payton Turner,NO,DE,null,31,32,29,36,null,null,null,15,null,null,null,null,null,null,null,null,null,143,40.5,13.2,18.9
1034,Ian Thomas,CAR,TE,35,52,37,44,45,40,45,46,38,57,32,40,null,35,42,24,54,37,703,61.2,2.7,18.8
1035,Jon Bostic,WAS,LB,68,39,39,33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,179,58.7,10.3,18.5
1035,Christian Jones,CHI,OLB,10,1,3,17,18,18,15,4,17,null,16,26,12,9,18,2,17,21,224,21.2,8.3,18.5
1037,Kyle Phillips,NYJ,DE,null,null,null,null,null,null,null,null,null,null,28,21,31,35,38,40,null,40,233,47.1,7.9,18.4
1037,Noah Brown,DAL,WR,null,12,23,21,23,18,null,13,25,28,42,69,12,null,null,null,4,12,302,33,6.1,18.4
1039,Mason Rudolph,PIT,QB,null,null,null,null,null,null,null,null,null,87,null,null,null,null,null,10,null,null,97,61,18.9,18.38
1040,Dee Eskridge,SEA,WR,12,null,null,null,null,null,null,null,null,5,11,13,22,28,40,20,24,12,187,32,9.8,18.3
1041,Neville Gallimore,DAL,DT,null,null,null,null,null,null,null,null,null,null,null,null,null,30,38,24,31,41,164,48.5,11.1,18.15
1042,Richard Sherman,TB,CB,null,null,null,58,53,6,null,null,null,null,null,null,null,20,null,3,null,null,140,44.7,12.9,18
1042,Blake Martinez,NYG,LB,66,71,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,142,71.4,12.7,18
1042,Jacob Tuioti-Mariner,ATL,DE,25,11,12,null,8,null,7,10,null,null,null,null,null,null,null,null,null,null,73,17.9,24.7,18
1042,Jason McCourty,MIA,CB,74,58,41,70,27,14,28,null,null,null,null,null,null,null,null,null,null,null,312,63.3,5.8,18
1042,Montravius Adams,PIT,DT,null,null,19,null,37,null,21,22,null,16,null,null,34,40,null,34,28,35,286,41.6,6.3,18
1042,Kevin Givens,SF,DL,42,5,null,null,null,null,null,18,20,14,15,13,20,19,20,15,19,10,230,27.5,7.8,18
1042,Rakeem Nunez-Roches,TB,DL,28,31,32,17,19,12,34,22,null,36,30,23,35,24,21,null,22,29,415,39.2,4.3,18
1049,KhaDarel Hodge,DET,WR,null,0,5,8,44,52,33,16,null,4,2,3,7,8,0,8,48,8,246,24.4,7.2,17.7
1049,Mohamed Sanu,SF,WR,20,20,45,39,30,null,28,25,33,null,null,null,null,null,null,null,null,null,240,47.3,7.4,17.7
1049,Jordan Akins,HOU,TE,47,38,34,18,27,32,29,39,25,null,null,null,null,12,20,1,5,null,327,39.1,5.4,17.7
1052,Mario Edwards,CHI,DE,null,null,20,28,21,11,22,17,21,null,23,null,null,19,null,14,3,13,212,27,8.3,17.6
1053,Wyatt Ray,CIN,DE,12,10,15,8,13,31,23,null,1,null,2,28,2,10,1,null,13,50,219,23.1,8,17.5
1053,Michael Thomas,CIN,S,null,null,null,null,null,null,null,null,null,null,0,23,0,0,0,1,2,62,88,18.3,19.9,17.5
1053,Deommodore Lenoir,SF,DB,90,56,45,0,0,null,null,null,null,0,8,0,25,5,0,0,8,null,237,29.3,7.4,17.5
1056,Tony Jones Jr.,NO,RB,22,12,13,9,null,null,null,null,null,null,10,21,null,20,0,2,9,14,132,19.7,13,17.1
1057,Jaire Alexander,GB,CB,56,57,70,36,null,null,null,null,null,null,null,null,null,null,null,null,null,null,219,88.7,7.8,17
1057,Austin Walter,NYJ,RB,null,null,null,null,null,null,null,null,null,null,null,16,8,null,6,null,25,null,55,21.3,30.9,17
1057,Shawn Williams,ATL,SS,null,null,null,null,null,null,null,null,null,null,5,null,null,0,10,8,75,65,163,40.8,10.4,17
1057,Jarren Williams,NYG,CB,null,null,null,null,null,null,null,null,null,null,null,null,25,23,70,61,15,0,194,48.6,8.8,17
1057,Tim Settle,WAS,DT,12,8,23,16,13,20,8,7,null,4,4,8,5,27,null,26,12,17,210,20.3,8.1,17
1057,Dylan Cole,TEN,LB,null,null,null,null,null,null,null,null,0,1,18,26,null,4,0,1,4,0,54,9.8,31.5,17
1057,Justin Layne,PIT,CB,0,9,0,0,0,0,null,0,0,1,0,0,9,9,0,0,0,0,28,2.4,60.7,17
1064,Nick Foles,CHI,QB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,74,null,null,74,100,22.7,16.8
1065,Jonathan Williams,WAS,RB,null,null,null,null,null,null,null,null,null,null,null,null,null,10,2,24,8,11,55,18,30.4,16.7
1065,Jody Fortson,KC,TE,7,2,6,15,14,10,null,null,null,null,null,null,null,null,null,null,null,null,54,12.6,30.9,16.7
1065,Taco Charlton,PIT,DE,null,null,null,null,null,null,null,10,16,23,49,18,22,37,7,13,15,6,216,28,7.7,16.7
1065,Zach Gentry,PIT,TE,16,8,17,11,22,23,null,45,37,30,15,22,30,26,37,49,41,44,473,40.3,3.5,16.7
1069,James Vaughters,ATL,LB,6,null,null,null,null,null,15,16,30,50,28,26,null,17,12,11,null,null,211,30.6,7.8,16.5
1069,Kelvin Joseph,DAL,CB,null,null,null,null,null,null,null,2,14,11,null,11,1,24,16,57,19,74,229,33,7.2,16.5
1069,Roderic Teamer,LV,S,null,null,null,10,9,14,null,null,null,null,0,0,0,0,11,null,59,93,196,27.6,8.4,16.5
1069,Amik Robertson,LV,CB,0,4,4,49,64,13,null,null,null,null,2,3,null,null,3,0,null,null,142,21.1,11.6,16.5
1069,Jonathan Bullard,ATL,DL,27,32,22,25,18,null,19,33,null,null,21,null,null,null,null,27,null,null,224,37,7.4,16.5
1069,Isaac Rochell,IND,DE,null,null,null,9,null,20,9,null,26,17,10,14,13,null,12,17,18,12,177,23.5,9.3,16.5
1075,N'Keal Harry,NE,WR,null,null,null,15,22,21,30,27,null,35,26,16,25,null,36,61,null,12,326,42.6,5,16.4
1076,Kristian Wilkerson,NE,WR,null,null,null,null,null,null,null,null,4,null,null,null,null,null,null,3,60,null,67,33.8,24.2,16.2
1077,Dyami Brown,WAS,WR,51,62,35,28,null,47,10,null,null,8,9,7,6,23,9,13,7,20,335,34.4,4.8,16.1
1078,Khalid Kareem,CIN,DE,null,null,null,null,null,null,null,12,3,null,7,18,null,null,13,null,9,48,110,26.2,14.5,16
1078,Troy Dye,MIN,LB,0,0,0,0,0,0,null,0,0,0,0,0,30,0,2,0,0,22,54,4.5,29.6,16
1078,Ifeadi Odenigbo,CLE,DE,null,null,null,null,16,7,null,15,33,24,null,null,null,12,null,16,16,24,163,25.8,9.8,16
1081,C.J. Ham,MIN,FB,25,15,22,21,32,21,null,26,21,27,23,20,25,31,25,20,9,13,376,33,4.2,15.9
1082,Marcus Johnson,TEN,WR,null,null,null,null,48,20,29,48,3,38,14,null,null,null,null,null,null,null,200,43.8,7.9,15.8
1082,Terrace Marshall Jr.,CAR,WR,34,39,45,50,54,23,null,null,22,18,14,null,null,30,8,41,44,null,422,47.7,3.7,15.8
1084,Qadree Ollison,ATL,RB,null,null,null,null,null,null,null,null,0,null,26,null,13,6,3,null,5,16,69,16.6,22.8,15.7
1085,Justin Zimmer,BUF,DT,23,38,25,24,30,21,null,null,null,null,null,null,null,null,null,null,null,null,161,44.1,9.6,15.5
1085,Brennan Scarlett,MIA,LB,26,20,18,28,10,8,18,7,15,2,9,null,null,null,null,null,2,3,166,18.6,9.3,15.5
1085,Tre Herndon,JAX,CB,null,null,null,39,33,58,null,8,null,null,null,0,0,null,0,null,46,23,207,36.6,7.5,15.5
1085,Tommy Togiai,CLE,DT,null,null,null,null,null,null,null,null,null,22,2,null,null,null,11,25,30,34,124,32.9,12.5,15.5
1085,DeAndre Baker,KC,CB,null,null,31,67,1,6,null,null,null,null,null,null,51,16,18,27,null,null,217,39.8,7.1,15.5
1085,Anthony Pittman,DET,LB,27,19,24,19,22,24,20,24,null,30,20,21,22,18,11,24,21,2,348,30.5,4.5,15.5
1085,Ta'Quon Graham,ATL,DL,null,13,16,28,21,null,14,null,null,null,27,21,22,21,33,32,31,31,310,35.6,5,15.5
1085,Teair Tart,TEN,DT,37,30,29,42,31,38,18,null,37,null,41,null,null,null,null,17,24,null,344,47.3,4.5,15.5
1093,Dante Pettis,NYG,WR,null,null,null,null,null,46,35,1,null,null,null,null,null,null,null,null,null,null,82,39.6,18.7,15.34
1094,Patrick Taylor,GB,RB,null,null,null,null,null,null,null,null,0,3,15,null,null,2,0,0,12,31,63,12,24.1,15.2
1095,Pharaoh Brown,HOU,TE,59,38,31,34,37,40,29,null,null,null,54,34,32,52,45,46,42,32,605,64.6,2.5,15.1
1095,Jeff Heath,NO,SS,9,0,0,0,0,null,0,0,0,6,0,0,0,0,0,null,39,19,73,6.9,20.7,15.1
1097,Micah Kiser,DEN,LB,null,0,4,1,17,18,9,null,null,null,null,null,null,9,13,15,63,3,152,21.3,9.9,15
1097,Jaquan Johnson,BUF,S,20,13,4,47,19,18,null,16,4,10,7,9,17,25,5,14,13,3,244,23,6.1,15
1097,Andre Chachere,PHI,S,0,0,0,0,0,0,1,19,11,0,0,0,0,null,0,25,null,62,118,11.2,12.7,15
1097,Rashaan Melvin,CAR,CB,null,33,29,21,null,9,null,11,18,null,null,null,null,37,25,null,56,9,248,40,6,15
1097,Mike Pennel Jr.,ATL,DL,null,null,null,null,5,null,null,25,22,38,33,null,null,14,26,17,36,34,250,37,6,15
1097,Patrick Johnson,PHI,LB,7,13,28,0,0,1,0,2,0,2,0,0,5,null,0,1,2,55,116,10.4,12.9,15
1103,Marcus Mariota,LV,QB,1,null,null,null,null,null,1,null,1,null,null,2,2,1,4,null,5,7,24,3.7,61.9,14.86
1104,Trent Sherfield,SF,WR,27,24,2,22,9,null,16,7,4,18,11,20,57,13,5,12,8,10,265,24.3,5.5,14.7
1105,Larry Rountree III,LAC,RB,22,10,11,22,0,null,null,8,6,9,19,null,0,null,null,0,0,null,107,13,13.6,14.6
1105,Alec Ingold,LV,FB,23,17,28,9,11,15,17,null,14,2,null,null,null,null,null,null,null,null,136,22.5,10.7,14.6
1107,J.J. Taylor,NE,RB,null,5,10,4,null,null,20,null,null,13,null,null,null,null,null,null,null,null,52,15.7,27.9,14.5
1107,Thomas Graham Jr.,CHI,CB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,64,38,4,6,112,50,12.9,14.5
1107,Justin Bethel,NE,CB,0,8,0,1,2,4,10,0,0,6,1,0,0,null,0,0,8,1,41,3.9,35.4,14.5
1107,Danny Trevathan,CHI,ILB,null,null,null,null,10,9,20,10,28,null,null,null,null,null,null,null,null,null,77,23.5,18.8,14.5
1107,Joe Gaziano,LAC,DL,null,11,14,7,13,11,null,8,1,13,43,7,30,29,15,null,13,null,215,22.6,6.7,14.5
1107,Grant Stuard,TB,LB,0,0,0,0,0,0,8,0,null,0,0,0,0,0,0,13,0,5,26,2.3,55.8,14.5
1113,Chris Smith,HOU,DL,null,null,null,null,null,null,null,null,null,null,null,null,21,17,27,25,null,null,90,35,15.9,14.3
1114,Scotty Miller,TB,WR,8,12,32,null,null,null,null,null,null,null,null,4,4,null,58,3,0,14,135,22,10.4,14.1
1114,Derek Rivers,HOU,DE,null,null,null,null,null,null,null,null,null,null,33,23,30,19,38,null,null,null,143,41.7,9.9,14.1
1114,Josiah Scott,PHI,CB,null,null,null,0,0,0,0,16,null,0,0,0,0,null,0,25,0,49,90,10.8,15.7,14.1
1114,Jesper Horsted,CHI,TE,null,null,null,null,2,0,1,0,1,null,null,null,0,null,2,null,null,null,6,1.3,235,14.1
1118,Josh Jones,SEA,S,null,null,null,null,null,null,0,0,0,15,5,0,null,null,0,0,0,52,72,10.8,19.4,14
1118,Chapelle Russell,JAX,LB,0,0,0,0,5,16,null,0,0,0,5,0,10,0,0,47,9,null,92,8.8,15.2,14
1118,Julian Stanford,CAR,LB,0,0,0,2,30,35,5,0,0,1,0,0,null,0,3,0,0,0,76,7,18.4,14
1118,Isaiah Buggs,PIT,DL,8,22,15,34,13,15,null,24,26,42,28,null,null,null,null,null,null,null,227,34.2,6.2,14
1122,Ty Montgomery,NO,WR,16,14,13,34,25,null,12,33,null,6,null,29,36,null,20,24,8,30,300,34.1,4.6,13.9
1123,Brandon Allen,CIN,QB,null,null,null,null,null,13,7,null,6,null,null,10,null,null,null,null,2,54,92,22.9,15.1,13.86
1124,Tipa Galeai,GB,LB,null,null,null,null,null,null,null,null,null,null,36,28,null,16,14,16,11,31,152,34.2,9.1,13.8
1124,Daniel Ekuale,NE,DT,null,null,null,null,null,null,17,14,null,null,null,null,8,null,2,21,22,15,99,23.2,13.9,13.8
1126,PJ Walker,CAR,QB,null,null,null,null,null,null,19,10,null,66,null,15,null,16,null,null,null,null,126,38,10.9,13.78
1127,Josey Jewell,DEN,ILB,61,21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,82,70.1,16.5,13.5
1127,K'Von Wallace,PHI,S,64,40,11,null,null,null,null,16,0,0,0,0,0,null,0,6,0,53,190,22.6,7.1,13.5
1127,Oshane Ximines,NYG,OLB,29,33,17,14,32,22,17,18,null,null,null,1,null,null,null,null,null,1,184,27,7.3,13.5
1127,Jalyn Holmes,NO,DE,null,12,null,null,null,null,null,null,null,null,21,36,33,43,17,null,13,14,189,34.9,7.1,13.5
1127,Justin Ellis,BAL,DL,19,20,40,15,13,14,18,null,40,37,28,22,9,23,21,30,13,20,382,35.1,3.5,13.5
1132,Ben Skowronek,LAR,WR,null,null,2,0,0,11,1,20,3,42,null,null,16,14,21,4,27,17,178,19.4,7.5,13.3
1132,Denzel Mims,NYJ,WR,3,null,null,10,8,null,20,59,46,null,null,null,21,22,23,32,null,35,279,39.4,4.8,13.3
1134,Shaka Toney,WAS,DE,null,null,null,null,null,11,null,3,null,9,null,5,5,52,6,12,3,12,118,18.5,11.2,13.25
1135,Chris Manhertz,JAX,TE,26,27,25,24,22,30,null,17,27,24,12,27,29,6,18,31,16,30,391,36,3.4,13.1
1136,Malcolm Roach,NO,DL,31,39,28,29,34,null,null,null,null,14,null,null,null,null,null,null,null,18,193,41.9,6.7,13
1136,Tanner Vallejo,ARI,ILB,6,0,1,2,6,null,11,29,29,26,null,null,null,null,null,null,10,null,120,18.5,10.8,13
1136,Robert Nkemdiche,SEA,NT,null,36,44,21,null,16,12,28,null,null,null,null,null,null,24,18,null,31,230,33.8,5.7,13
1136,John Jenkins,MIA,DT,45,18,47,49,null,7,null,null,null,3,null,null,null,null,null,null,null,7,176,35.7,7.4,13
1136,Trysten Hill,DAL,DT,null,null,null,null,null,null,null,null,null,15,28,39,null,28,null,null,29,32,171,40,7.6,13
1136,Adrian Colbert,NYJ,S,34,56,42,26,null,null,null,null,null,null,null,null,null,null,null,0,2,0,160,33.2,8.1,13
1136,Margus Hunt,CHI,DE,null,3,12,null,null,null,18,null,null,null,null,19,18,14,20,7,18,21,150,25,8.7,13
1136,Elijah Lee,CLE,LB,0,11,15,14,0,7,0,0,13,13,0,0,null,0,0,0,null,0,73,7,17.8,13
1136,Ricardo Allen,CIN,FS,21,null,null,null,6,22,15,9,1,null,14,30,3,16,18,3,6,13,177,19.9,7.3,13
1136,Xavier Crawford,CHI,CB,18,15,25,17,18,37,6,15,22,null,17,34,42,20,null,null,null,null,286,34.3,4.5,13
1136,Jon Rhattigan,SEA,LB,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,null,null,null,0,0,0,13
1136,Jahlani Tavai,NE,ILB,null,null,8,1,null,0,7,0,5,6,4,12,null,null,0,0,12,1,56,6.8,23.2,13
1148,Sean Mannion,MIN,QB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51,null,51,94.4,25.4,12.96
1149,Kenny Stills,NO,WR,null,null,29,17,40,null,32,1,25,18,26,21,11,27,null,17,10,null,274,32.2,4.7,12.9
1150,Patrick Ricard,BAL,FB,41,48,29,51,16,55,43,null,61,37,48,60,38,null,null,null,28,null,555,57.3,2.3,12.7
1150,Eli Ankou,BUF,DT,null,null,null,null,null,null,null,18,null,null,null,14,18,29,null,14,16,null,109,28.1,11.7,12.7
1152,Wayne Gallman,ATL,RB,null,null,null,10,3,null,3,null,null,23,2,5,null,null,0,0,null,null,46,9,27.2,12.5
1152,Lee Smith,ATL,TE,21,13,26,17,34,null,26,18,17,null,22,29,16,34,13,11,10,4,311,31.2,4,12.5
1152,Trey Marshall,LAC,SS,null,1,1,0,null,11,null,0,6,40,8,11,5,69,44,null,1,0,197,20.5,6.3,12.5
1152,Jahleel Addae,IND,SS,null,null,null,null,null,null,null,null,6,10,5,0,7,null,0,61,0,50,139,24.4,9,12.5
1152,K.J. Britt,TB,ILB,0,0,0,0,0,0,8,0,null,0,0,0,0,0,0,13,0,7,28,2.5,44.6,12.5
1152,Tyrel Dodson,BUF,LB,19,13,18,13,19,18,null,16,14,9,7,9,27,30,null,14,13,27,266,27,4.7,12.5
1152,Trae Waynes,CIN,CB,null,null,null,53,43,null,null,null,null,null,null,null,null,null,69,12,null,66,243,75.9,5.1,12.5
1152,Zech McPhearson,PHI,CB,2,0,0,0,0,0,0,null,24,11,26,0,33,null,0,27,0,56,179,16.9,7,12.5
1152,L.J. Collier,SEA,DE,null,20,null,null,19,null,null,null,null,21,null,24,15,32,20,25,23,19,218,29.8,5.7,12.5
1161,Tom Kennedy,DET,WR,null,4,null,null,null,8,9,14,null,null,3,2,16,17,15,21,24,16,149,20.2,8.3,12.4
1162,Brian Hoyer,NE,QB,null,null,null,null,null,null,12,null,6,9,null,1,null,null,null,null,13,null,41,12.2,30,12.28
1163,Jesse James,CHI,TE,9,14,1,9,null,11,26,38,22,null,19,23,25,15,null,null,28,25,265,29.1,4.6,12.2
1164,Trayvon Henderson,CIN,S,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,57,57,46.7,21.1,12
1164,Malcolm Koonce,LV,DE,null,null,null,null,null,null,null,null,null,null,null,null,7,15,0,null,12,15,49,14.4,24.5,12
1164,Nahshon Wright,DAL,CB,18,14,4,1,20,21,null,23,21,15,null,34,null,null,null,12,22,74,279,32,4.3,12
1164,Andrew Dowell,NO,LB,11,9,0,0,0,null,0,0,0,null,0,1,0,0,0,0,0,0,21,2,57.1,12
1164,Josiah Bronson,NO,DT,null,null,null,null,null,null,23,null,21,null,39,33,22,18,null,7,null,null,163,35.9,7.4,12
1164,Joshua Kelley,LAC,RB,null,null,null,null,26,18,null,null,17,8,null,16,2,19,13,17,3,null,139,20.6,8.6,12
1164,Cody Davis,NE,SS,0,0,0,null,0,0,0,8,0,0,0,0,21,null,0,0,0,0,29,2.9,41.4,12
1164,Miles Killebrew,PIT,S,0,0,0,0,1,0,null,5,0,11,1,0,2,6,5,1,6,6,44,3.8,27.3,12
1172,Michael Burton,KC,FB,5,5,4,4,2,6,null,4,9,7,5,null,7,5,6,13,6,6,94,8.4,12.4,11.7
1172,Bunmi Rotimi,WAS,DE,null,null,null,null,null,null,6,null,null,8,6,null,9,44,30,27,54,20,204,36.2,5.7,11.7
1172,McTelvin Agim,DEN,DL,null,null,null,17,null,null,8,20,3,null,null,20,9,null,13,null,null,null,90,19.7,13,11.7
1175,Michael Ojemudia,DEN,CB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,75,85,58.6,13.5,11.5
1175,T.J. Green,ATL,FS,9,20,70,4,6,null,13,null,null,null,null,null,null,null,6,null,null,null,128,27.2,9,11.5
1175,Jacob Hollister,JAX,TE,null,null,46,11,15,5,null,null,null,null,null,null,null,null,20,36,null,41,174,36.9,6.6,11.5
1175,Josh Metellus,MIN,S,0,0,0,0,0,0,null,0,2,0,null,3,6,0,0,0,0,43,54,4.7,21.3,11.5
1175,John Reid,SEA,CB,0,null,1,null,null,null,null,0,null,0,0,0,0,5,17,71,38,null,132,16.3,8.7,11.5
1175,Jamien Sherwood,NYJ,LB,3,null,26,24,34,null,52,null,null,null,null,null,null,null,null,null,null,null,139,36.1,8.3,11.5
1175,Nate Hairston,DEN,CB,9,12,5,2,1,24,18,15,33,20,null,27,2,9,10,14,44,null,245,24.3,4.7,11.5
1175,Albert Huggins,NO,DT,21,33,null,28,31,null,null,null,null,null,null,null,22,16,23,28,17,null,219,35.6,5.3,11.5
1175,Ty Summers,GB,LB,0,0,20,9,0,0,0,0,0,0,0,0,null,0,0,null,null,null,29,3.2,39.7,11.5
1175,Anthony Levine Sr.,BAL,DB,0,0,0,0,0,0,0,null,0,0,0,0,0,0,19,12,0,0,31,2.8,37.1,11.5
1185,Equanimeous St. Brown,GB,WR,null,6,null,11,12,12,12,67,3,null,21,26,null,5,null,48,18,51,292,34,3.8,11.2
1185,Jeff Smith,NYJ,WR,9,20,6,null,null,null,null,20,22,10,1,9,15,null,null,13,59,34,218,27.5,5.1,11.2
1185,Jalen Richard,LV,RB,null,null,null,null,10,8,16,null,5,6,null,14,null,null,11,10,13,24,117,17.2,9.6,11.2
