Rank,Name,Team,Position,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,SnapsPlayed,SnapsPlayedPercentage,FantasyPointSnapPercentage,FantasyPoints
59,DK Metcalf,SEA,WR,50,51,47,46,48,49,46,41,null,45,45,44,62,45,53,49,48,51,820,82.7,20.6,169.3
60,Tyler Lockett,SEA,WR,46,50,49,48,56,58,48,44,null,58,45,47,59,46,null,48,60,51,813,87,20.7,168.4
61,Diontae Johnson,PIT,WR,44,49,null,55,60,69,null,68,65,74,63,61,57,72,48,65,72,65,987,90.6,17,167.4
62,Melvin Gordon III,DEN,RB,33,41,36,30,36,43,29,30,41,25,null,26,null,34,31,23,30,26,514,51.2,32.5,167.1
63,Daniel Jones,NYG,QB,61,69,70,63,29,75,72,60,56,null,58,60,null,null,null,null,null,null,673,94.5,24.7,166.52
64,Roquan Smith,CHI,LB,52,55,81,71,67,59,73,56,72,null,81,18,53,47,64,56,56,48,1009,95.4,16.4,165.5
65,Javonte Williams,DEN,RB,33,28,27,31,25,38,21,23,37,33,null,36,60,33,44,22,30,30,551,51,29.4,161.9
66,De'Vondre Campbell,GB,LB,56,57,70,60,59,61,72,59,65,61,70,62,null,52,70,68,46,null,988,97.1,16.3,160.8
67,Shaquille Leonard,IND,LB,54,59,68,52,73,67,56,73,77,63,50,67,45,null,67,null,62,68,1001,98.7,15.8,158.5
68,New England Patriots,NE,DST,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,158
69,Devin Singletary,BUF,RB,64,43,34,32,15,35,null,25,48,22,21,45,28,64,65,54,61,62,718,59.9,22,157.8
70,Sam Darnold,CAR,QB,64,76,73,70,71,74,45,64,59,null,null,null,null,null,null,44,60,71,771,93.1,20.4,157.28
71,Aaron Donald,LAR,DL,66,62,60,72,60,45,63,41,55,53,null,81,52,74,57,61,71,68,1041,90.1,15.1,157.1
72,Davis Mills,HOU,QB,null,35,55,47,59,75,56,61,null,null,null,null,23,81,59,68,67,57,743,93.1,21.1,156.96
73,Nick Bosa,SF,DL,51,44,54,39,42,null,56,57,52,42,34,44,61,55,47,54,49,60,841,77.7,18.6,156.2
74,Hunter Renfrow,LV,WR,47,29,43,38,50,32,36,null,45,39,34,64,54,59,54,40,43,51,758,66.5,20.6,156.1
75,C.J. Mosley,NYJ,LB,60,58,67,100,78,null,null,56,62,58,59,57,71,70,71,73,74,82,1096,98.6,14.2,155.9
76,Miami Dolphins,MIA,DST,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,155
77,CeeDee Lamb,DAL,WR,61,60,66,49,65,77,null,65,44,32,36,null,62,57,49,54,56,49,882,76.4,17.4,153.8
78,David Montgomery,CHI,RB,41,52,37,36,null,null,null,null,53,null,56,59,53,52,51,58,45,49,642,74.6,23.8,153
79,Zach Wilson,NYJ,QB,65,73,54,61,56,null,18,null,null,null,null,67,59,66,57,58,61,46,741,92.4,20.5,151.86
80,Keenan Allen,LAC,WR,67,65,55,66,68,51,null,59,62,55,62,61,53,null,62,55,49,82,972,86.4,15.6,151.8
81,AJ Dillon,GB,RB,16,19,18,29,21,25,13,29,24,36,44,42,null,35,23,26,39,37,476,42.7,31.8,151.6
82,Bobby Wagner,SEA,LB,76,88,75,76,67,75,74,76,null,74,83,84,58,81,66,74,1,null,1128,94.8,13.4,151.2
83,Eric Kendricks,MIN,LB,69,61,53,78,68,74,null,73,98,59,59,70,null,74,51,70,75,null,1032,97.9,14.6,151.1
84,Michael Pittman Jr.,IND,WR,74,60,57,61,61,46,62,77,53,56,52,65,54,null,28,68,56,50,980,88,15.4,150.6
85,Buffalo Bills,BUF,DST,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
85,Darrel Williams,KC,RB,14,14,27,24,37,59,46,52,35,45,36,null,26,23,21,29,49,31,568,47.5,26.2,149
87,Devin White,TB,ILB,84,72,65,59,54,52,58,76,null,73,58,35,71,78,61,57,61,65,1079,95.7,13.8,148.75
88,Denzel Perryman,LV,LB,52,42,76,60,52,68,55,null,55,59,70,71,47,null,null,39,44,74,864,83.3,17.1,148
89,Robert Quinn,CHI,DL,33,38,63,53,48,47,null,52,56,null,61,41,40,53,49,46,42,33,755,76.6,19.6,147.85
90,Myles Garrett,CLE,DE,50,49,37,61,60,53,33,55,50,45,45,60,null,57,60,52,65,33,865,77.4,17.1,147.65
91,Cole Holcomb,WAS,LB,81,69,79,63,56,82,56,53,null,48,51,47,59,85,71,null,61,60,1021,98.7,14.4,147
92,D'Andre Swift,DET,RB,63,36,35,52,50,49,52,44,null,66,35,10,null,null,null,null,36,32,560,67.1,26.2,146.9
93,Cameron Heyward,PIT,DT,56,56,42,57,45,58,null,47,52,67,62,54,58,63,73,53,52,60,955,81.9,15.3,146.55
94,Elijah Mitchell,SF,RB,35,43,null,null,44,null,37,36,39,36,null,49,49,null,null,null,36,37,441,64,33.1,146
95,Tee Higgins,CIN,WR,51,50,null,null,47,41,42,43,57,null,59,43,60,50,46,64,58,null,711,75.6,20.4,145.1
95,Kyzir White,LAC,LB,38,40,55,44,53,65,null,63,46,77,66,50,71,56,72,68,60,57,981,85,14.8,145.1
97,DJ Moore,CAR,WR,52,67,54,59,62,68,62,61,50,59,48,53,null,57,69,60,56,55,992,86.3,14.6,144.5
98,Chris Godwin,TB,WR,64,56,70,73,51,68,61,59,null,46,62,65,64,78,16,null,null,null,833,84.8,17.3,144.4
99,Tampa Bay Buccaneers,TB,DST,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,143
100,James Robinson,JAX,RB,47,41,40,53,48,56,null,8,null,39,29,38,26,35,59,11,null,null,530,58.3,27,142.9
101,Brandin Cooks,HOU,WR,61,56,52,41,50,68,53,54,67,null,53,47,43,66,49,null,53,18,831,83.3,17.1,141.8
101,Jaylen Waddle,MIA,WR,43,47,73,41,43,65,61,65,65,61,55,55,53,null,null,58,57,61,903,83.4,15.7,141.8
103,New Orleans Saints,NO,DST,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141
104,Deion Jones,ATL,ILB,71,63,68,67,56,null,73,74,76,63,62,null,69,64,57,60,76,72,1071,98.3,13,138.7
104,Darnell Mooney,CHI,WR,69,58,44,41,49,57,57,54,50,null,54,61,72,57,70,63,56,74,986,87.9,14.1,138.7
106,Indianapolis Colts,IND,DST,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,138
107,Amon-Ra St. Brown,DET,WR,59,34,27,51,47,49,43,45,null,43,41,48,69,47,45,59,53,56,816,74,16.8,137.3
107,Jordan Hicks,ARI,LB,61,59,68,68,65,59,36,73,53,75,49,null,74,57,65,70,64,58,1054,97.3,13,137.3
109,Terry McLaurin,WAS,WR,55,71,52,65,70,56,66,61,null,70,62,76,62,33,49,55,60,47,1010,89.6,13.5,136.5
110,Fred Warner,SF,LB,77,58,63,56,61,null,68,70,70,55,46,33,null,67,60,62,67,65,978,96.5,13.9,136
111,Marquise Brown,BAL,WR,47,55,39,45,66,51,63,null,80,55,null,61,64,70,62,54,54,58,924,79.6,14.6,135.3
112,Derwin James Jr.,LAC,S,55,62,72,57,72,65,null,77,57,79,69,62,74,null,28,null,53,80,962,94.6,14,134.75
113,Amari Cooper,DAL,WR,74,60,66,29,57,78,null,63,36,51,null,null,24,75,66,52,58,46,835,76.8,16.1,134.5
114,Darrell Henderson Jr.,LAR,RB,49,40,null,61,44,54,57,41,47,41,null,50,null,null,18,5,null,null,507,65.4,26.5,134.4
115,Adam Thielen,MIN,WR,78,61,72,66,62,87,null,65,48,71,66,53,6,null,null,23,null,null,758,83.8,17.5,132.8
116,Harold Landry III,TEN,OLB,54,51,61,60,65,76,51,80,70,57,64,41,null,42,44,54,57,54,981,89.5,13.5,132
117,Kansas City Chiefs,KC,DST,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,131
117,Alex Singleton,PHI,ILB,43,57,57,56,53,47,37,21,10,10,58,57,55,null,45,65,50,null,721,68.1,18.2,131
119,Chandler Jones,ARI,DE,48,61,61,61,46,null,null,62,49,50,44,null,68,50,56,62,56,50,824,85,15.9,130.95
120,Dalton Schultz,DAL,TE,57,45,53,48,57,75,null,60,59,51,66,71,67,72,61,55,60,37,994,80.9,13.2,130.8
121,Christian Kirk,ARI,WR,39,38,38,56,33,64,51,46,67,47,61,null,32,58,72,55,68,68,893,76.2,14.6,130.62
122,Kevin Byard,TEN,S,61,54,61,61,71,77,54,80,78,67,64,59,null,48,49,59,57,57,1057,96.4,12.4,130.6
123,Kenny Moore II,IND,CB,52,57,67,52,73,75,56,72,77,65,50,67,45,null,68,65,62,60,1063,98.5,12.1,129.1
124,Bobby Okereke,IND,LB,54,59,68,52,73,75,56,72,74,66,50,67,45,null,67,65,62,68,1073,99.4,12,128.4
125,Cameron Jordan,NO,DE,33,64,65,58,67,null,45,49,49,53,56,43,57,null,57,50,48,36,830,79,15.4,128.05
126,Harrison Smith,MIN,S,69,61,53,78,68,74,null,73,null,null,59,70,72,74,73,68,75,82,1049,99.8,12.2,127.7
127,George Kittle,SF,TE,52,70,70,70,null,null,null,null,43,52,57,65,54,68,55,59,59,66,840,91.9,15.1,127
128,Justin Fields,CHI,QB,5,42,45,58,61,61,66,70,62,null,30,null,null,62,73,null,null,null,635,84.2,20,126.8
129,Jerome Baker,MIA,LB,74,63,83,71,66,65,10,null,68,73,59,45,63,null,57,50,63,62,972,93.4,13,126.7
130,Arizona Cardinals,ARI,DST,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,126
131,Kamu Grugier-Hill,HOU,LB,17,44,null,61,64,48,71,49,72,null,74,66,62,28,null,null,55,66,777,83.5,16.2,125.5
131,Kendrick Bourne,NE,WR,33,31,55,36,32,25,41,23,33,29,29,33,15,null,48,30,43,36,572,51.8,21.9,125.5
133,Matthew Judon,NE,LB,48,50,50,68,53,77,59,54,53,39,45,55,49,null,47,66,10,54,877,82.4,14.3,125.4
134,Sony Michel,LAR,RB,3,16,48,7,23,12,8,20,31,14,null,12,66,58,48,63,57,52,538,49.4,23.3,125.3
135,Demario Davis,NO,LB,42,76,72,63,83,null,56,61,59,60,78,66,70,66,74,null,61,50,1037,98.6,12.1,125.1
136,Minkah Fitzpatrick,PIT,S,85,66,47,72,60,65,null,59,62,70,null,65,74,70,80,66,71,71,1083,99.4,11.5,125
137,Myles Gaskin,MIA,RB,29,45,43,12,37,25,46,40,54,42,53,37,44,null,26,20,15,7,575,49.8,21.7,124.6
138,Quincy Williams,NYJ,LB,null,53,63,97,72,null,50,33,15,32,63,40,49,0,66,72,73,79,857,76.2,14.5,123.9
139,Jordan Poyer,BUF,S,58,61,50,null,86,53,null,69,61,68,62,51,51,83,71,64,53,43,984,97.2,12.5,123.1
140,Tennessee Titans,TEN,DST,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,123
